"Genome","dCUB"
"TARA_SAMEA4398413_METAG_CPEEGJLO",-0.0216828208633344
"MARD_SAMN08770194_REFG_MMP08770194",-0.361663890140607
"TARA_SAMEA2620925_METAG_MBELEPLF",-0.185974812505599
"TARA_SAMEA2622568_METAG_FCFEIPFJ",0.0021971910308357
"TARA_SAMEA4397472_METAG_OKEGKAFL",-0.112806857473876
"TARA_SAMEA4396489_METAG_KKGDMKHA",-0.20371860755084
"TARA_SAMEA4398094_METAG_ANFIMAOB",-0.0864744407138787
"MARD_SAMN09522130_REFG_MMP09522130",-0.306191849103373
"TARA_SAMEA2623116_METAG_HDAFLMCO",-0.173538366114766
"TARA_SAMEA4396424_METAG_HIKNENFF",-0.0092959054392757
"GORG_SAMEA6079687_SAGS_AG426M05",-0.0006853173723901
"TARA_SAMEA2620980_METAG_FPACFOKN",-0.0291860399678981
"MARD_SAMN09437435_REFG_MMP09437435",-0.427241217847819
"TARA_SAMEA2621272_METAG_IBCPDKBE",0.0284462405394101
"MARD_SAMN02597172_SAGS_MMP02597172",0.0335540679914263
"TARA_SAMEA2623370_METAG_KLNICJAN",-0.065531570463116
"MARD_SAMN07327728_REFG_MMP07327728",-0.539415245184705
"MARD_SAMN02745912_REFG_MMP02745912",-0.0573857817164137
"MARD_SAMN03999384_REFG_MMP03999384",-0.189220842057141
"TARA_SAMEA2621066_METAG_OPLLPBJA",-0.0654869249340789
"GORG_SAMEA6070064_SAGS_AG894A16",-0.0045712326985537
"TARA_SAMEA2620217_METAG_NAHCNIBB",-0.0432739996546314
"TARA_SAMEA2622801_METAG_ECAHMIGO",-0.0554816948719751
"TARA_SAMEA4398111_METAG_GFHMNJCF",-0.203798524898489
"MARD_SAMN07357117_REFG_MMP07357117",-0.668535087630009
"MARD_SAMD00000404_REFG_MMP00000404",-0.757006179591906
"TARA_SAMEA2622765_METAG_CKKHFEEO",-0.170594718311619
"TARA_SAMEA2622021_METAG_MNGGKDJE",0.0505501760449337
"TARA_SAMEA2619766_METAG_PNCHGECM",-0.0341469746257458
"TARA_SAMEA2619667_METAG_CHMFIJAD",-0.10487695844941
"TARA_SAMEA2620824_METAG_GEJHHNAG",-0.274950360502585
"MARD_SAMN08886495_SAGS_MMP08886495",-0.115096752979623
"TARA_SAMEA2623756_METAG_NJFKOENM",-0.113323539054117
"GORG_SAMEA6075144_SAGS_AG349C11",0.0357090557654385
"TARA_SAMEA2621839_METAG_ECLMIDKH",-0.0178925916287097
"BGEO_SAMN07136688_METAG_NGPNAMCD",-0.037692222106605
"TARA_SAMEA2622837_METAG_AFJNLKBG",0.0066284208764847
"TARA_SAMEA4398370_METAG_EHKIJLNC",-0.0143238647751214
"TARA_SAMEA4398238_METAG_AANIECHH",-0.297139069639355
"MARD_SAMN09901142_REFG_MMP09901142",-0.769796673962793
"TARA_SAMEA2621044_METAG_PAAMBDEJ",-0.150458825061471
"MARD_SAMN08886139_SAGS_MMP08886139",-0.0619557113547702
"MARD_SAMN05660429_REFG_MMP05660429",-0.487438205545445
"TARA_SAMEA4397196_METAG_GHNDOLDE",-0.174243862708607
"TARA_SAMEA2622219_METAG_FOKHOIFF",-0.0153610166290672
"MARD_SAMN05660649_REFG_MMP05660649",0.0307045579560904
"TARA_SAMEA2622568_METAG_JIEMLICG",-0.0992828706833928
"TARA_SAMEA2623627_METAG_IHPHFGPL",-0.0726927781722759
"TARA_SAMN05326645_METAG_PSE00010",-0.121020986710635
"TARA_SAMEA2622677_METAG_FDKFBDEE",-0.0546501279259935
"TARA_SAMEA2619952_METAG_NJJBGEID",-0.0058029019591952
"MARD_SAMN06028227_REFG_MMP06028227",-0.762823259660282
"MARD_SAMN04320402_REFG_MMP04320402",-0.32076952601079
"MARD_SAMD00039994_REFG_MMP00039994",-0.0486431345270302
"TARA_SAMEA2620812_METAG_HIEKJCAB",-0.0919298730684968
"MARD_SAMN04487808_REFG_MMP04487808",-0.637480106582892
"TARA_SAMEA2622733_METAG_HKJJAHKE",-0.0025798468697372
"TARA_SAMEA2622837_METAG_JMDHKPDK",-0.068404974298286
"TARA_SAMEA2622197_METAG_DDGIMMEI",0.0166005132227354
"TARA_SAMEA2621287_METAG_BBCLLGLF",-0.0442414218368634
"MARD_SAMN05792885_REFG_MMP05792885",-0.203841644679627
"MARD_SAMN04487801_REFG_MMP04487801",-0.359082383459846
"GORG_SAMEA6080066_SAGS_AG435F03",-0.0209211158464466
"TARA_SAMEA2622837_METAG_MEOGPOJG",-0.0323568320048617
"MARD_SAMEA2272395_REFG_MMP2272395",-0.193580402721706
"MARD_SAMN04489796_REFG_MMP04489796",-0.154340068484335
"TARA_SAMEA4396988_METAG_OJLLLIJD",-0.125967394091492
"TARA_SAMEA2621812_METAG_MOHOOAMM",-0.10801612639148
"TARA_SAMEA2621859_METAG_LMMJEOCK",-0.101370533190737
"TARA_SAMN05326651_METAG_RED00002",-0.038417423269756
"GORG_SAMEA6079616_SAGS_AG426I04",0.0141986410846287
"TARA_SAMEA2621551_METAG_PDBJEGFH",-0.0839149937621813
"TARA_SAMEA2623135_METAG_FBKPEOOB",-0.0017332709264646
"HOTS_SAMN07137059_METAG_PMKAHHED",-0.0733908527640288
"MARD_SAMEA1059311_REFG_MMP1059311",-0.321438509042581
"TARA_SAMEA4397472_METAG_FANKLAJP",-0.11020467545261
"TARA_SAMEA4396468_METAG_OLPIIGOK",-0.0014001669821456
"MARD_SAMEA3925393_REFG_MMP3925393",-0.330530509474518
"TARA_SAMEA4397174_METAG_LMPNIEMG",-0.138451042737291
"TARA_SAMEA2619548_METAG_PAIGEGGM",-0.0458191089600967
"TARA_SAMEA4398247_METAG_FDLMIEOP",-0.0959939743136538
"TARA_SAMEA2591098_METAG_OOHHFBGP",-0.121804346071832
"TARA_SAMEA2621260_METAG_OGOIGPKJ",-0.114894649223263
"TARA_SAMN05326645_METAG_PSE00041",-0.126339850448936
"TARA_SAMEA2622822_METAG_GPEDNHIC",0.0019471414359374
"MARD_SAMN04487911_REFG_MMP04487911",-0.306823356889458
"TARA_SAMEA4398001_METAG_MLJBBDKI",-0.167934004571114
"TARA_SAMEA2619840_METAG_CCMNDJMD",-0.0386389825592614
"MARD_SAMN04487807_REFG_MMP04487807",-0.884046593170769
"MARD_SAMEA4644771_REFG_MMP4644771",-0.210967975961608
"TARA_SAMEA2619531_METAG_APJADHJG",-0.0314884493986655
"GORG_SAMEA6079884_SAGS_AG430J03",0.020161001572979
"MARD_SAMN08149906_REFG_MMP08149906",-0.365099046087223
"MARD_SAMN05897974_REFG_MMP05897974",-0.150077885507388
"MARD_SAMN04488057_REFG_MMP04488057",-0.183119518346994
"MARD_SAMN04487999_REFG_MMP04487999",-0.269345103899911
"MARD_SAMN08997732_REFG_MMP08997732",-0.270266639238393
"TARA_SAMEA4396489_METAG_FPKKKDHE",-0.106330865452535
"MARD_SAMN04488110_REFG_MMP04488110",-0.045007314956275
"TARA_SAMEA2621990_METAG_OMFNCAAD",-0.0157615975123585
"TARA_SAMEA4396988_METAG_EJHBCOEF",-0.140162629199841
"MARD_SAMN04488031_REFG_MMP04488031",0.0021972710140802
"TARA_SAMEA4398238_METAG_DNPPHHEA",-0.0296840142490516
"TARA_SAMEA2620812_METAG_HDCKCBGN",0.0036993963762027
"TARA_SAMEA4397118_METAG_DAPHGPDF",-0.164964478989445
"MALA_SAMN05422149_METAG_MCILJKBH",-0.0170423613621333
"TARA_SAMEA2621085_METAG_NCMAHLFL",-0.209225753959011
"GORG_SAMEA6068957_SAGS_AG359G23",0.0064763876933462
"MARD_SAMN04488013_REFG_MMP04488013",-0.375622873402624
"GORG_SAMEA6070310_SAGS_AG895D05",-0.0293344300634288
"TARA_SAMEA4397536_METAG_MBMFBPNN",-0.151548650885556
"MARD_SAMN08886329_SAGS_MMP08886329",-0.0009483358446783
"GORG_SAMEA6075502_SAGS_AG404K13",-0.111657616536315
"MARD_SAMN09669792_REFG_MMP09669792",-0.0681508214563705
"TARA_SAMEA4397330_METAG_OAFLDEIP",-0.0441888123927796
"MARD_SAMN07980965_REFG_MMP07980965",-0.0883552995710427
"MARD_SAMN02745148_REFG_MMP02745148",-0.166408852204367
"TARA_SAMEA2621551_METAG_MMPJBINL",-0.0776802582998628
"TARA_SAMEA4397756_METAG_NKKEIPND",-0.130326049828511
"MARD_SAMN05421734_REFG_MMP05421734",-0.253661687453834
"TARA_SAMEA2621528_METAG_JOLHKIDP",-0.325193354487904
"TARA_SAMEA2623693_METAG_GPOHIFOF",-0.0394659941416786
"TARA_SAMEA4398238_METAG_CLIBKFHJ",-0.307882489337744
"MARD_SAMEA3528420_REFG_MMP3528420",-0.305216885047442
"MARD_SAMN09901207_REFG_MMP09901207",-0.0775884114154594
"TARA_SAMEA4397489_METAG_EOIDKPKM",-0.220081582447472
"TARA_SAMEA2622843_METAG_DILOGMNI",-0.134480268403601
"TARA_SAMEA2619766_METAG_FBLLGDEP",0.0048928385995575
"TARA_SAMEA4396941_METAG_IJEMMHFI",-0.0753245810069825
"TARA_SAMEA4398315_METAG_ODIMHKIJ",-0.122340903263188
"TARA_SAMEA4397174_METAG_HPIDOFNN",-0.297668073290244
"MARD_SAMN04311937_REFG_MMP04311937",-0.498531621845367
"TARA_SAMN05326650_METAG_MED00069",-0.0410844558206814
"TARA_SAMEA2619766_METAG_AGJMLGCB",-0.14706312398374
"TARA_SAMEA4396515_METAG_FFGDBLLE",-0.154244958976393
"MARD_SAMN08886640_SAGS_MMP08886640",-0.0264643229340755
"MARD_SAMN07620991_REFG_MMP07620991",-0.334560705039461
"TARA_SAMEA2622737_METAG_HPGMPLOF",-0.15814690753386
"TARA_SAMEA4397705_METAG_ODDHKJJE",-0.140873179924784
"TARA_SAMEA2621176_METAG_GIHJDEBP",-0.109884978504608
"GORG_SAMEA6073922_SAGS_AG915D08",0.0157655536647871
"GORG_SAMEA6073345_SAGS_AG912G22",0.0301165351490696
"TARA_SAMEA4397842_METAG_OIMALLNB",0.0136528096600193
"TARA_SAMEA4397489_METAG_OBKGIEFA",-0.179147314872669
"MARD_SAMN07786985_REFG_MMP07786985",-0.0437518396860267
"TARA_SAMEA2621839_METAG_EOBFGPGM",-0.0238319179976619
"MARD_SAMN05421511_REFG_MMP05421511",-0.0602208631218589
"TARA_SAMEA2621551_METAG_MNJLJAEC",-0.0444442087824844
"TARA_SAMEA4397051_METAG_ANCHFCML",-0.15906186323198
"TARA_SAMEA2619782_METAG_ICHHLBDI",0.011180109058225
"MARD_SAMN09245960_REFG_MMP09245960",0.0722081832260256
"TARA_SAMEA2622837_METAG_DIBDDNCD",-0.150931492271212
"TARA_SAMEA2622429_METAG_EOFLCMEN",-0.0133901377845895
"TARA_SAMN05326641_METAG_ANW00020",-0.0955273806862086
"MARD_SAMN02745724_REFG_MMP02745724",-0.524237963017874
"TARA_SAMEA2621812_METAG_FLEPIGME",-0.0176168031011211
"TARA_SAMEA2621551_METAG_MJDIFNCP",-0.0346041600930598
"HOTS_SAMN07137059_METAG_CAAGMKCE",0.0094563578027601
"MARD_SAMN04488005_REFG_MMP04488005",-0.377516953502273
"GORG_SAMEA6076663_SAGS_AG447O13",-0.0167795691722736
"TARA_SAMEA2621203_METAG_OBEBGOOI",-0.011263435841952
"TARA_SAMEA2621287_METAG_CBFAEDAG",-0.268018024041901
"MARD_SAMN06109290_REFG_MMP06109290",-0.338147294449447
"TARA_SAMEA2619779_METAG_DEIPIGFH",-0.0897533194226368
"TARA_SAMEA2622673_METAG_EOOHAFPO",-0.120172208947899
"BGEO_SAMN07136523_METAG_NMOKDPNF",-0.273833723844602
"TARA_SAMEA4398238_METAG_BBIMKEDM",-0.0832444767119726
"GORG_SAMEA6071497_SAGS_AG901E05",-0.0654260170707344
"TARA_SAMEA2591098_METAG_LNIEDDNG",-0.0170987696023518
"BGEO_SAMN07136541_METAG_KPGAPLIK",-0.0315046863813069
"TARA_SAMEA4396515_METAG_JGLKMNCE",-0.242702361468751
"TARA_SAMEA4397255_METAG_LKCHICOH",-0.167451893203156
"TARA_SAMEA2622119_METAG_CKEFGNEL",-0.0791651874342969
"TARA_SAMEA2622837_METAG_BEOLKKCE",-0.007561446637698
"TARA_SAMEA2620035_METAG_LBGPHFGM",-0.0731871406740826
"TARA_SAMEA2621812_METAG_DMKNCGLF",0.0504644251625572
"MARD_SAMN04487907_REFG_MMP04487907",-0.134884523116362
"GORG_SAMEA6070202_SAGS_AG894L13",0.0302202639862682
"TARA_SAMEA2622696_METAG_BCBJAGLF",-0.0488256005846876
"TARA_SAMEA4398193_METAG_GAPAJFEN",-0.0044457450187395
"TARA_SAMEA2622796_METAG_NAJLOALF",0.0775351307163769
"MARD_SAMN04487961_REFG_MMP04487961",-0.253093735435537
"TARA_SAMEA2620021_METAG_KBGMIOJP",-0.0315751398046985
"TARA_SAMEA4397118_METAG_PGCEFNEO",-0.110749748274872
"TARA_SAMEA4396941_METAG_GBOJPBHF",-0.100122082513559
"MARD_SAMN04487962_REFG_MMP04487962",-0.212544739848968
"TARA_SAMEA2622097_METAG_ECJHKAMO",-0.112692795375152
"TARA_SAMEA2623649_METAG_EJBMLLJL",-0.0821472640082172
"MARD_SAMN09531617_REFG_MMP09531617",-0.495057837592428
"TARA_SAMEA4397930_METAG_FEBNIJHN",-0.27021055403314
"TARA_SAMEA2591057_METAG_MGBAEOCH",-0.0782602646382395
"MARD_SAMN08886192_SAGS_MMP08886192",0.0087945008015468
"TARA_SAMN05326646_METAG_PSW00014",-0.0357837814974234
"TARA_SAMEA2591057_METAG_MGIKKEGI",-0.302378293881893
"TARA_SAMEA2620882_METAG_BNMHGDEA",-0.111693094476034
"MARD_SAMN10397593_REFG_MMP10397593",-0.350516166901481
"MARD_SAMN09074945_REFG_MMP09074945",-0.292083771335975
"TARA_SAMEA4397174_METAG_KMIHOAAC",-0.0481685424938108
"MARD_SAMN05421803_REFG_MMP05421803",-0.216858606404351
"TARA_SAMEA2619815_METAG_AOBADPKK",-0.165873903673445
"MARD_SAMN04488481_REFG_MMP04488481",-0.0291757477403334
"MARD_SAMN09762563_REFG_MMP09762563",-0.742899226574044
"BGEO_SAMN07136682_METAG_KOCHKHCC",-0.0585436864644715
"MARD_SAMN08886191_SAGS_MMP08886191",-0.0380990656428885
"GORG_SAMEA6071777_SAGS_AG903M21",-0.0331691755479508
"GORG_SAMEA6076030_SAGS_AG414N23",-0.002842422235402
"TARA_SAMN05326641_METAG_ANW00057",-0.0342657217460873
"TARA_SAMEA2622837_METAG_POOBDMOF",0.0761934789154467
"TARA_SAMEA2622737_METAG_BCPAJEON",-0.101632270213949
"TARA_SAMEA4397023_METAG_DPNJCNNI",-0.198277278922943
"TARA_SAMEA2621551_METAG_AJELNHCL",-0.0611847598126133
"TARA_SAMEA2621812_METAG_EINIOJLI",-0.11326537471479
"MARD_SAMN02927983_REFG_MMP02927983",-0.303678830349682
"GORG_SAMEA6069550_SAGS_AG891J21",0.0277846955347678
"TARA_SAMEA2620668_METAG_AOKPHPCE",-0.175875096002277
"TARA_SAMEA2622837_METAG_KACCJKKA",0.0004339132083585
"TARA_SAMEA2621502_METAG_NLHALEFI",0.0057696960232691
"MARD_SAMN04450243_REFG_MMP04450243",-0.14345065521107
"MARD_SAMN04903162_REFG_MMP04903162",-0.441160479153259
"TARA_SAMEA4397255_METAG_KKHJAOMA",-0.106348753761063
"MARD_SAMN08469618_REFG_MMP08469618",-0.502000815861879
"TARA_SAMN05326646_METAG_PSW00069",-0.0839704615703598
"MARD_SAMN10411098_REFG_MMP10411098",-0.0099384726306376
"GORG_SAMEA6076611_SAGS_AG447L18",-0.0089425974996842
"TARA_SAMEA2622074_METAG_ILKMGLDH",-0.0037640115743756
"MARD_SAMN10134657_REFG_MMP10134657",-0.154627286631192
"TARA_SAMEA2621176_METAG_EKLCKMDK",-0.0684404588713962
"GORG_SAMEA6070561_SAGS_AG896G23",0.0101516031447969
"TARA_SAMEA2622696_METAG_KGIODGLG",0.0510913413898913
"BGEO_SAMN07136507_METAG_NAJFPCKG",-0.0959732477187064
"TARA_SAMEA4396468_METAG_DHGJMAAG",-0.0328564841563071
"GORG_SAMEA6076665_SAGS_AG447O15",0.0228429892024446
"TARA_SAMEA2623314_METAG_HLLPALBA",-0.043942739650699
"TARA_SAMN05326641_METAG_ANW00015",-0.0830708525125546
"GORG_SAMEA6080277_SAGS_AG439G19",0.0477984993842037
"TARA_SAMEA2621551_METAG_IBCCMGFG",-0.0811891280029044
"TARA_SAMEA4397196_METAG_ICABMHNN",-0.0114830059676914
"MARD_SAMN09080596_REFG_MMP09080596",-0.186918807020694
"GORG_SAMEA6079561_SAGS_AG426D09",0.0391481790085976
"MARD_SAMN08886156_SAGS_MMP08886156",-0.0225121122933112
"TARA_SAMEA2622119_METAG_AHPOGDIA",-0.367887009540708
"MARD_SAMN05444483_REFG_MMP05444483",-0.186317219363108
"TARA_SAMEA4397118_METAG_GCAJHDBO",-0.145757610976838
"TARA_SAMEA2622219_METAG_FLMMGJJK",-0.0258938475267937
"BGEO_SAMN07136638_METAG_DHFJAKOF",-0.006433038410383
"TARA_SAMEA2622733_METAG_JGPACJHB",-0.0842623603696454
"MARD_SAMN08886375_SAGS_MMP08886375",-0.0730571097766779
"TARA_SAMEA2623463_METAG_EJFDGHLL",-0.0670153154726555
"MARD_SAMN10320226_REFG_MMP10320226",-0.231318403627319
"GORG_SAMEA6076218_SAGS_AG422C21",0.0012251093912483
"TARA_SAMEA2619531_METAG_CDJDEOGJ",-0.0275597535762649
"MARD_SAMN09205228_REFG_MMP09205228",-0.247617802067813
"TARA_SAMEA4397798_METAG_LCPMICCD",-0.0785031084446651
"TARA_SAMEA4398027_METAG_PHDMBMMK",-0.11135913822657
"TARA_SAMEA4397295_METAG_NDHNHJHC",-0.218948949769883
"MARD_SAMN05421793_REFG_MMP05421793",-0.339715627173784
"GORG_SAMEA6069965_SAGS_AG893J23",0.0090629055748204
"TARA_SAMEA4398219_METAG_MOHHODOE",-0.133095082224974
"TARA_SAMEA2621216_METAG_ICKIJPCP",-0.0929790200138225
"TARA_SAMEA4397255_METAG_BAGPGNGF",-0.262310080013489
"MARD_SAMN08886150_SAGS_MMP08886150",-0.0109774586062123
"MARD_SAMN09041732_REFG_MMP09041732",-0.644910699629114
"TARA_SAMEA2621242_METAG_GDMEHIBJ",-0.200149372574429
"TARA_SAMEA2623135_METAG_JEBBDGCH",-0.0445121468921383
"MARD_SAMN09932322_REFG_MMP09932322",-0.526724111205533
"TARA_SAMEA2622837_METAG_HBAPHKBN",-0.103069702734544
"TARA_SAMEA2622219_METAG_IBJHCFCC",0.0006146750342325
"TARA_SAMN05326641_METAG_ANW00040",-0.115459145271359
"TARA_SAMEA4396489_METAG_CIGGPLLK",-0.278925630945876
"TARA_SAMEA2619907_METAG_OHOOKNOA",-0.0495558615570329
"MARD_SAMN10134658_REFG_MMP10134658",-0.09193927003304
"TARA_SAMEA2623390_METAG_LNAPLDHH",-0.0485429292124972
"GORG_SAMEA6075846_SAGS_AG390O18",0.022047249947904
"BGEO_SAMN07136483_METAG_CEMEACFK",-0.111227299911059
"TARA_SAMEA2620979_METAG_OKCONOOP",-0.123765440277496
"TARA_SAMEA2622733_METAG_DHIHELHE",-0.0555342814334455
"MARD_SAMN08886513_SAGS_MMP08886513",-0.0067889388161936
"GORG_SAMEA6075780_SAGS_AG390L11",0.0222403258062015
"TARA_SAMEA2622478_METAG_CAGCBFPE",-0.0407557347088753
"MARD_SAMN05444007_REFG_MMP05444007",-0.0931127888462688
"MARD_SAMN05216208_REFG_MMP05216208",-0.121467051218783
"TARA_SAMEA4397705_METAG_EGANHIBL",-0.101963195461945
"TARA_SAMEA2619907_METAG_JAJJHLIH",-0.0011922427994037
"TARA_SAMEA2591122_METAG_JACCAKIN",-0.060671164052997
"GORG_SAMEA6067885_SAGS_AH287M22",0.0023300082723154
"TARA_SAMEA2623673_METAG_LIGJOFMP",-0.0189369037952531
"TARA_SAMEA2623673_METAG_BFAMLMFE",0.0297302252356317
"MARD_SAMN09579956_REFG_MMP09579956",-0.103009014437701
"TARA_SAMEA2620339_METAG_CMFLFIIF",-0.012980362007096
"MARD_SAMN04488108_REFG_MMP04488108",-0.267291651519272
"MARD_SAMN09381308_REFG_MMP09381308",-0.126165929300657
"TARA_SAMEA4398027_METAG_JFPJLACK",-0.192846573296942
"GORG_SAMEA6074891_SAGS_AG920B11",-0.021333146905195
"TARA_SAMEA2621812_METAG_CLGODNHH",-0.0393266928471259
"TARA_SAMEA4398266_METAG_ABDIENDO",-0.285047865679161
"GORG_SAMEA6077970_SAGS_AG337K17",-0.0236764880777493
"GORG_SAMEA6071336_SAGS_AG900I13",0.0679553398047755
"TARA_SAMN05326650_METAG_MED00033",-0.0388127909059551
"MARD_SAMN05928563_REFG_MMP05928563",-0.189405321996862
"TARA_SAMEA4398009_METAG_LEDOCBPK",-0.0888325481840708
"TARA_SAMEA4397516_METAG_IHKMLABH",-0.0485672559053451
"TARA_SAMEA4398387_METAG_LABGGNAJ",-0.21800046193965
"MALA_SAMN05422136_METAG_MLBOFNBE",-0.001409571189998
"TARA_SAMEA4396988_METAG_KCIJPEKM",-0.182215130692483
"MARD_SAMEA2272100_REFG_MMP2272100",-0.519317971157714
"TARA_SAMEA4397903_METAG_NANDEFED",-0.0659427455861443
"MARD_SAMN10081840_REFG_MMP10081840",-0.523451459698882
"GORG_SAMEA6076728_SAGS_AG313C04",-0.13185319678612
"TARA_SAMEA2623135_METAG_GANIGMCO",-0.0473072042407885
"TARA_SAMEA2621839_METAG_GCNKNAHO",-0.101798790513881
"GORG_SAMEA6077196_SAGS_AG319P17",0.0327398238702859
"TARA_SAMEA4397920_METAG_KIGOFCII",-0.0850027125404435
"MARD_SAMEA3529277_REFG_MMP3529277",-0.25127230242863
"TARA_SAMEA2622074_METAG_JDGAKLBG",-0.0099130368053105
"MARD_SAMEA3214536_REFG_MMP3214536",-0.0518076723747073
"MARD_SAMN04515658_REFG_MMP04515658",-0.219069625815524
"TARA_SAMEA2623116_METAG_IDGLDLOI",0.000858689522877
"MARD_SAMN07327725_REFG_MMP07327725",-0.568396870268372
"TARA_SAMEA2621528_METAG_LMPJOJBM",-0.178319991222292
"TARA_SAMEA2622695_METAG_MCPOHDEN",0.0147328607860855
"TARA_SAMEA4398009_METAG_OBLJMAIF",-0.038974968839189
"TARA_SAMEA2623135_METAG_ADKAGOMC",-0.147942499127566
"MARD_SAMN08906339_REFG_MMP08906339",-0.247541270439952
"MARD_SAMN04965930_REFG_MMP04965930",-0.287519635805784
"MARD_SAMN10261828_SAGS_MMP10261828",-0.0485521820779174
"TARA_SAMEA4398067_METAG_NOLKPMGL",-0.273631999787139
"TARA_SAMEA2622197_METAG_NOPBLNLP",-0.343916959551232
"TARA_SAMEA2622568_METAG_BPIONGFC",-0.176232123967747
"MARD_SAMN04488104_REFG_MMP04488104",-0.290771597332595
"MARD_SAMN05216207_REFG_MMP05216207",0.0489534624820331
"MARD_SAMN04965933_REFG_MMP04965933",-0.189906027605813
"TARA_SAMEA2621242_METAG_GNEALDBF",-0.14662763470835
"TARA_SAMEA2622733_METAG_CKLGIHPC",-0.0023209865962578
"MARD_SAMN09930779_REFG_MMP09930779",-0.154789656145519
"TARA_SAMEA2621003_METAG_CKNNHJHJ",-0.063292012887874
"TARA_SAMEA2623116_METAG_PAGKDFNI",-0.0591480893047803
"MALA_SAMN05422149_METAG_PLPADFBC",-0.0751372298827137
"TARA_SAMN05326650_METAG_MED00066",-0.0302852796847047
"MARD_SAMN06075357_REFG_MMP06075357",-0.18261957692498
"MARD_SAMN05444336_REFG_MMP05444336",-0.0883745833939278
"MARD_SAMN05687755_REFG_MMP05687755",-0.6414541016225
"TARA_SAMEA2622518_METAG_JELDGPNL",0.0077677723612854
"MARD_SAMN04571751_REFG_MMP04571751",-0.144383602831224
"MARD_SAMN10231959_REFG_MMP10231959",-0.0261246652854421
"TARA_SAMN05326650_METAG_MED00131",-0.0589385122874887
"MARD_SAMN09377739_REFG_MMP09377739",-0.390512745347235
"GORG_SAMEA6069972_SAGS_AG893K11",-0.0149323833314497
"TARA_SAMEA2622837_METAG_HLHPBMON",-0.046846255039624
"MARD_SAMEA4707920_REFG_MMP4707920",-0.123434651854224
"TARA_SAMEA4397363_METAG_PEIHIEPH",-0.15658269076196
"TARA_SAMEA2623155_METAG_MLJGDHKJ",-0.0185367594203517
"MARD_SAMN02603919_REFG_MMP02603919",-0.108971691689307
"TARA_SAMEA2619667_METAG_OGKNGEBE",-0.037707988818198
"GORG_SAMEA6071019_SAGS_AG899A06",0.0325449568233075
"MARD_SAMN09842172_REFG_MMP09842172",-0.381452803360213
"TARA_SAMEA2622796_METAG_IKFJOKBI",-0.0573671514635154
"GORG_SAMEA6075916_SAGS_AG414E04",0.0170071219491538
"MARD_SAMN04488102_REFG_MMP04488102",-0.556959158097667
"MARD_SAMN04965935_REFG_MMP04965935",-0.14501301253973
