"","x"
"165","Nitric oxide"
"166","Octacosanoyl-CoA"
"167","Selenate"
"168","Succinate"
"169","Thymine C5H6N2O2"
"170","Trans 4 Hydroxy L proline C5H9NO3"
"171","Trimethylamine N-oxide"
"172","Undecaprenyl diphosphate"
"173"," 3 hydroxynonanoic acid"
"174","2',3'-Cyclic AMP"
"175","3  AMP C10H12N5O7P"
"176","3-Methylbutanoic acid"
"177","4-Hydroxyphenylacetate"
"178","8 Phenyloctanoic acid"
"179","Beta D glucose 6 phosphate C6H11O9P"
"180","Cu+"
"181","D-Arginine"
"182","D-Galactarate"
"183","D-Lysine"
"184","D-Mannitol"
"185","D-tartrate"
"186","DCMP C9H12N3O7P"
"187","DTMP C10H13N2O8P"
"188","Deoxyadenosine"
"189","Fructoselysine"
"190","Glycerol"
"191","Glycerophosphoserine"
"192","Glycolate C2H3O3"
"193","Heptanoate"
"194","Hydrogen"
"195","Hydroxylamine"
"196","Indole"
"197","L-Histidine"
"198","L-Isoleucine"
"199","L-Serine"
"200","L-Valine"
"201","L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
"202","L-methionine-R-sulfoxide"
"203","Methanol"
"204","N-Acetylneuraminate"
"205","Nonanoate C9H17O2"
"206","Octadecanoate (n-C18:0)"
"207","Octadecenoate (n-C18:1)"
"208","Ornithine"
"209","Petroselaidic acid"
"210","Pyruvate"
"211","Sulfite"
"212","Superoxide anion"
"213","Triacylglycerol  hexadecanoate"
"214","Triacylglycerol  nC181d9"
"215","UDP-D-glucuronate"
