Genome,Compound_name,growth_rate,Compound,Metabolite,Higher.Level.Classification,ex_agree,vit_grow,vit_gr_rate,vit_agree,single_agreement,agreement,agreement_status
12B01,histidine,3.246137203,EX_his__L_e,L-Histidine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,homoserine,0,EX_hom__L_e,L-Homoserine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,isocitrate,0,EX_icit_e,Isocitrate,Carboxylic Acid,1,0,0,0,0,0,org_agree
12B01,isoleucine,0,EX_ile__L_e,L-Isoleucine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,inositol,0,EX_inost_e,Myo-Inositol,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
12B01,lactate,3.899723085,EX_lac__L_e,L-Lactate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,lactose,1.912279772,EX_lcts_e,Lactose C12H22O11,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
12B01,leucine,0,EX_leu__L_e,L-Leucine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,lysine,0,EX_lys__L_e,L-Lysine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,malate,0,EX_mal__L_e,L-Malate,Carboxylic Acid,1,0,0,0,0,0,org_agree
12B01,maltose,3.873177605,EX_malt_e,Maltose C12H22O11,Carbohydrates/Derivatives,0,1,32.51937891576415,0,0,0,org_agree
12B01,galactan,0,EX_malttr_e,Maltotriose C18H32O16,Carbohydrates/Derivatives,1,1,32.51937891576416,1,0,0,single_rescue
12B01,mannose,4.50288708,EX_man_e,D-Mannose,Carbohydrates/Derivatives,0,1,32.51937891576407,0,0,0,org_agree
12B01,melibiose,0,EX_melib_e,Melibiose C12H22O11,Carbohydrates/Derivatives,1,1,32.51937891576416,1,0,0,single_rescue
12B01,methionine,0,EX_met__L_e,L-Methionine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,mannitol,3.188781517,EX_mnl_e,D-Mannitol,Carbohydrates/Derivatives,0,1,32.51937891576407,0,0,0,org_agree
12B01,pectin,12.28219111,EX_pectin_e,Pectin C6H7O6,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
12B01,phenylalanine,0,EX_phe__L_e,L-Phenylalanine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,propionate,2.154002172,EX_ppa_e,Propionate (n-C3:0),Carboxylic Acid,0,0,0,-1,0,0,single_rescue
12B01,propanol,0,EX_ppoh_e,1-Propanol,Alcohol,1,0,0,0,0,0,org_agree
12B01,proline,2.7016929,EX_pro__L_e,L-Proline,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
12B01,pullulan,3.689943469,EX_pullulan1200_e,"Pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds",Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
12B01,pyruvate,3.616221084,EX_pyr_e,Pyruvate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,raffinose,0,EX_raffin_e,Raffinose C18H32O16,Carbohydrates/Derivatives,1,1,32.51937891576392,1,0,0,single_rescue
12B01,ribose,3.128913075,EX_rib__D_e,D-Ribose,Carbohydrates/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,rhamnose,0,EX_rmn_e,L-Rhamnose,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
12B01,sarcosine,0,EX_sarcs_e,Sarcosine C3H7NO2,Carboxylic Acid,0,0,0,0,0,0,org_agree
12B01,sorbitol,0,EX_sbt__D_e,D-Sorbitol,Carbohydrates/Derivatives,1,1,32.519378915764,1,0,0,single_rescue
12B01,serine,4.975519863,EX_ser__L_e,L-Serine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,starch,2.98677513,EX_starch_e,Starch C12H20O10,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
12B01,succinate,3.825211226,EX_succ_e,Succinate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,sucrose,0,EX_sucr_e,Sucrose C12H22O11,Carbohydrates/Derivatives,1,1,32.51937891576408,1,0,0,single_rescue
12B01,tartrate,0,EX_tartr__L_e,L-tartrate,Carboxylic Acid,0,0,0,0,0,0,org_agree
12B01,taurine,0.277249209,EX_taur_e,Taurine C2H7NO3S,Organic Sulfur,0,0,0,-1,-1,-1,false_neg
12B01,threonine,14.99421912,EX_thr__L_e,L-Threonine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
12B01,thymine,0,EX_thym_e,Thymine C5H6N2O2,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
12B01,thymidine,1.751499545,EX_thymd_e,Thymidine C10H14N2O5,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,1,43.08505258559389,0,0,0,org_agree
12B01,tryptophan,0,EX_trp__L_e,L-Tryptophan,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,tyrosine,0.228525679,EX_tyr__L_e,L-Tyrosine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,uracil,0,EX_ura_e,Uracil,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
12B01,uridine,3.996349859,EX_uri_e,Uridine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,1,45.92232878374694,0,0,0,org_agree
12B01,valine,0,EX_val__L_e,L-Valine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,xylose,0,EX_xyl__D_e,D-Xylose,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
12B01,xylitol,0,EX_xylt_e,Xylitol C5H12O5,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
13B01,3m2-oxybutyrate,0,EX_3mob_e,3-Methyl-2-oxobutanoate,Carboxylic Acid,0,0,0,0,0,0,org_agree
13B01,acetate,3.039669101,EX_ac_e,Acetate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
13B01,galnac,0,EX_acgal_e,N-Acetyl-D-galactosamine,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,glcnac,2.735343964,EX_acgam_e,N-Acetyl-D-glucosamine,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,adenine,0,EX_ade_e,Adenine,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
13B01,oxoglutarate,8.268065864,EX_akg_e,2-Oxoglutarate,Ketones/Aldehydes,-1,0,0,-1,-1,-1,no_ex
13B01,alanine,3.145412139,EX_ala__L_e,L-Alanine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,beta-alanine,0,EX_ala_B_e,Beta-Alanine,Amino Acids/Derivatives,0,0,0,0,0,0,org_agree
13B01,arabinose,0,EX_arab__L_e,L-Arabinose,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
13B01,arginine,0,EX_arg__L_e,L-Arginine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,asparagine,2.025118635,EX_asn__L_e,L-Asparagine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,aspartate,2.089573415,EX_asp__L_e,L-Aspartate,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,butanol,0,EX_btoh_e,Butanol,Alcohol,1,0,0,0,0,0,org_agree
13B01,butyrate,0,EX_but_e,Butyrate (n-C4:0),Phospholipids/Fatty Acids/Triglycerides,1,0,0,0,0,0,org_agree
13B01,benzoate,0,EX_bz_e,Benzoate,Carboxylic Acid,0,0,0,0,0,0,org_agree
13B01,cellobiose,4.559644262,EX_cellb_e,Cellobiose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,citrate,14.98995009,EX_cit_e,Citrate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
13B01,cytosine,0,EX_csn_e,Cytosine,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
13B01,cysteine,1.790740388,EX_cys__L_e,L-Cysteine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,cytidine,14.98105485,EX_cytd_e,Cytidine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,deoxyuridine,2.073064444,EX_duri_e,Deoxyuridine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,ethanol,0,EX_etoh_e,Ethanol,Alcohol,1,0,0,0,0,0,org_agree
13B01,fructose,8.391777065,EX_fru_e,D-Fructose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,fucose,0,EX_fuc__L_e,L-Fucose,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,fumarate,3.294501203,EX_fum_e,Fumarate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
13B01,galactose,3.872793206,EX_gal_e,D-Galactose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,galactosamine,0,EX_galam_e,D Galactosamine C6H13NO5,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
13B01,galacturonate,0,EX_galur_e,D-Galacturonate,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,glucosamine,4.816162499,EX_gam_e,D-Glucosamine,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,glucose,5.009756865,EX_glc__D_e,D-Glucose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,gluconate,4.7793994380000004,EX_glcn_e,D-Gluconate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
13B01,glucuronate,0,EX_glcur_e,D-Glucuronate,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,glutamine,4.352981188,EX_gln__L_e,L-Glutamine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,glutamate,2.90603239,EX_glu__L_e,L-Glutamate,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,glycine,1.091183689,EX_gly_e,Glycine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,glycerol,2.703160299,EX_glyc_e,Glycerol,Alcohol,0,0,0,-1,0,0,single_rescue
13B01,glycolate,0,EX_glyclt_e,Glycolate C2H3O3,Carboxylic Acid,1,0,0,0,0,0,org_agree
13B01,glycogen,2.999882281,EX_glycogen_e,Glycogen C6H10O5,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
13B01,histidine,2.915910676,EX_his__L_e,L-Histidine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,homoserine,0,EX_hom__L_e,L-Homoserine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,isocitrate,0,EX_icit_e,Isocitrate,Carboxylic Acid,1,0,0,0,0,0,org_agree
13B01,isoleucine,0,EX_ile__L_e,L-Isoleucine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,inositol,0,EX_inost_e,Myo-Inositol,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,lactate,3.674555027,EX_lac__L_e,L-Lactate,Carboxylic Acid,0,0,0,-1,0,0,single_rescue
13B01,lactose,1.985813963,EX_lcts_e,Lactose C12H22O11,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,leucine,0.771227223,EX_leu__L_e,L-Leucine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,lysine,0,EX_lys__L_e,L-Lysine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,malate,0,EX_mal__L_e,L-Malate,Carboxylic Acid,1,0,0,0,0,0,org_agree
13B01,maltose,4.375110766,EX_malt_e,Maltose C12H22O11,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,galactan,0,EX_malttr_e,Maltotriose C18H32O16,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,mannose,8.111099041,EX_man_e,D-Mannose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,melibiose,0,EX_melib_e,Melibiose C12H22O11,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,methionine,0,EX_met__L_e,L-Methionine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,mannitol,4.455986157,EX_mnl_e,D-Mannitol,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,pectin,14.73881649,EX_pectin_e,Pectin C6H7O6,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
13B01,phenylalanine,0,EX_phe__L_e,L-Phenylalanine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,propionate,3.073140755,EX_ppa_e,Propionate (n-C3:0),Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
13B01,propanol,0,EX_ppoh_e,1-Propanol,Alcohol,1,0,0,0,0,0,org_agree
13B01,proline,3.090551466,EX_pro__L_e,L-Proline,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,pullulan,7.996975263,EX_pullulan1200_e,"Pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds",Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
13B01,pyruvate,4.205921029,EX_pyr_e,Pyruvate,Carboxylic Acid,0,0,0,-1,0,0,single_rescue
13B01,raffinose,0,EX_raffin_e,Raffinose C18H32O16,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,ribose,3.293969489,EX_rib__D_e,D-Ribose,Carbohydrates/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,rhamnose,0,EX_rmn_e,L-Rhamnose,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
13B01,sarcosine,0,EX_sarcs_e,Sarcosine C3H7NO2,Carboxylic Acid,0,0,0,0,0,0,org_agree
13B01,sorbitol,0,EX_sbt__D_e,D-Sorbitol,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,serine,3.706825351,EX_ser__L_e,L-Serine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,starch,2.26751021,EX_starch_e,Starch C12H20O10,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
13B01,succinate,3.593015266,EX_succ_e,Succinate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
13B01,sucrose,0,EX_sucr_e,Sucrose C12H22O11,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,tartrate,0,EX_tartr__L_e,L-tartrate,Carboxylic Acid,0,0,0,0,0,0,org_agree
13B01,taurine,6.947359987,EX_taur_e,Taurine C2H7NO3S,Organic Sulfur,0,0,0,-1,-1,-1,false_neg
13B01,threonine,7.068026208,EX_thr__L_e,L-Threonine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,thymine,0,EX_thym_e,Thymine C5H6N2O2,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
13B01,thymidine,1.459929139,EX_thymd_e,Thymidine C10H14N2O5,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,tryptophan,0,EX_trp__L_e,L-Tryptophan,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,tyrosine,0.293861374,EX_tyr__L_e,L-Tyrosine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
13B01,uracil,0,EX_ura_e,Uracil,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
13B01,uridine,14.9713171,EX_uri_e,Uridine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,0,0,-1,0,0,single_rescue
13B01,valine,0,EX_val__L_e,L-Valine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
13B01,xylose,0,EX_xyl__D_e,D-Xylose,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
13B01,xylitol,0,EX_xylt_e,Xylitol C5H12O5,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
1A01,3m2-oxybutyrate,0,EX_3mob_e,3-Methyl-2-oxobutanoate,Carboxylic Acid,0,0,0,0,0,0,org_agree
1A01,acetate,0,EX_ac_e,Acetate,Carboxylic Acid,1,0,0,0,0,0,org_agree
1A01,galnac,0,EX_acgal_e,N-Acetyl-D-galactosamine,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
1A01,glcnac,5.303137587,EX_acgam_e,N-Acetyl-D-glucosamine,Carbohydrates/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,adenine,0,EX_ade_e,Adenine,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
1A01,oxoglutarate,10.03787934,EX_akg_e,2-Oxoglutarate,Ketones/Aldehydes,0,0,0,-1,-1,-1,false_neg
1A01,alanine,2.536726107,EX_ala__L_e,L-Alanine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,beta-alanine,0,EX_ala_B_e,Beta-Alanine,Amino Acids/Derivatives,0,0,0,0,0,0,org_agree
1A01,arabinose,0,EX_arab__L_e,L-Arabinose,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
1A01,arginine,0.472948429,EX_arg__L_e,L-Arginine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,asparagine,2.928434723,EX_asn__L_e,L-Asparagine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,aspartate,2.2020446,EX_asp__L_e,L-Aspartate,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,butanol,0,EX_btoh_e,Butanol,Alcohol,0,0,0,0,0,0,org_agree
1A01,butyrate,0,EX_but_e,Butyrate (n-C4:0),Phospholipids/Fatty Acids/Triglycerides,1,0,0,0,0,0,org_agree
1A01,benzoate,0,EX_bz_e,Benzoate,Carboxylic Acid,0,0,0,0,0,0,org_agree
1A01,cellobiose,5.461269305,EX_cellb_e,Cellobiose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,citrate,0,EX_cit_e,Citrate,Carboxylic Acid,1,0,0,0,0,0,org_agree
1A01,cytosine,0,EX_csn_e,Cytosine,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
1A01,cysteine,0.790643847,EX_cys__L_e,L-Cysteine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,cytidine,3.987642457,EX_cytd_e,Cytidine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,deoxyuridine,1.826967259,EX_duri_e,Deoxyuridine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,ethanol,0,EX_etoh_e,Ethanol,Alcohol,1,0,0,0,0,0,org_agree
1A01,fructose,4.752316588,EX_fru_e,D-Fructose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,fucose,0,EX_fuc__L_e,L-Fucose,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
1A01,fumarate,3.229777503,EX_fum_e,Fumarate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
1A01,galactose,2.967875051,EX_gal_e,D-Galactose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,galactosamine,0,EX_galam_e,D Galactosamine C6H13NO5,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
1A01,galacturonate,0,EX_galur_e,D-Galacturonate,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
1A01,glucosamine,14.86268258,EX_gam_e,D-Glucosamine,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,glucose,5.090287575,EX_glc__D_e,D-Glucose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,gluconate,8.945087634,EX_glcn_e,D-Gluconate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
1A01,glucuronate,0,EX_glcur_e,D-Glucuronate,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
1A01,glutamine,0,EX_gln__L_e,L-Glutamine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,glutamate,2.466059074,EX_glu__L_e,L-Glutamate,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,glycine,1.944854513,EX_gly_e,Glycine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,glycerol,2.208053326,EX_glyc_e,Glycerol,Alcohol,0,0,0,-1,0,0,single_rescue
1A01,glycolate,0,EX_glyclt_e,Glycolate C2H3O3,Carboxylic Acid,1,0,0,0,0,0,org_agree
1A01,glycogen,3.273946871,EX_glycogen_e,Glycogen C6H10O5,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
1A01,histidine,0,EX_his__L_e,L-Histidine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,homoserine,0,EX_hom__L_e,L-Homoserine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,isocitrate,0,EX_icit_e,Isocitrate,Carboxylic Acid,1,0,0,0,0,0,org_agree
1A01,isoleucine,0,EX_ile__L_e,L-Isoleucine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,inositol,0,EX_inost_e,Myo-Inositol,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
1A01,lactate,7.165133072,EX_lac__L_e,L-Lactate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
1A01,lactose,1.948337022,EX_lcts_e,Lactose C12H22O11,Carbohydrates/Derivatives,0,0,0,-1,-1,-1,false_neg
1A01,leucine,0,EX_leu__L_e,L-Leucine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,lysine,0,EX_lys__L_e,L-Lysine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,malate,0,EX_mal__L_e,L-Malate,Carboxylic Acid,1,0,0,0,0,0,org_agree
1A01,maltose,3.512931627,EX_malt_e,Maltose C12H22O11,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,galactan,0,EX_malttr_e,Maltotriose C18H32O16,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
1A01,mannose,7.879345047,EX_man_e,D-Mannose,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
1A01,melibiose,0,EX_melib_e,Melibiose C12H22O11,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
1A01,methionine,0,EX_met__L_e,L-Methionine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
1A01,mannitol,8.033569802,EX_mnl_e,D-Mannitol,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
