Genome.prokka	GTDB.Taxonomy
MARD_SAMN03274361_REFG_MMP03274361-prokka	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_A;s__Thermococcus_A sp001317345
MARD_SAMN03288802_REFG_MMP03288802-prokka	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sediminis
MARD_SAMN04318426_REFG_MMP04318426-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloprofundus;s__Haloprofundus marisrubri
MARD_SAMN04318428_REFG_MMP04318428-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax marisrubri
MARD_SAMN04386402_REFG_MMP04386402-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp001541925
MARD_SAMN04487946_REFG_MMP04487946-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__Halobellus clavatus
MARD_SAMN04487947_REFG_MMP04487947-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum rufum
MARD_SAMN04487949_REFG_MMP04487949-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum gelatinilyticum
MARD_SAMN04487950_REFG_MMP04487950-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum rubrum
MARD_SAMN04488063_REFG_MMP04488063-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halopelagius;s__Halopelagius inordinatus
MARD_SAMN04488064_REFG_MMP04488064-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus aerogenes
MARD_SAMN04488065_REFG_MMP04488065-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus vescus
MARD_SAMN04488124_REFG_MMP04488124-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum limi
MARD_SAMN04488556_REFG_MMP04488556-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halostagnicola;s__Halostagnicola kamekurae
MARD_SAMN04488589_REFG_MMP04488589-prokka	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus vulcani
MARD_SAMN04488691_REFG_MMP04488691-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax larsenii
MARD_SAMN04489841_REFG_MMP04489841-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema salaciae
MARD_SAMN05216170_REFG_MMP05216170-prokka	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus thioreducens
MARD_SAMN05216277_REFG_MMP05216277-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica
MARD_SAMN05216559_REFG_MMP05216559-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium zhouii
MARD_SAMN08382978_REFG_MMP08382978-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense
MARD_SAMN09370719_REFG_MMP09370719-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__Halonotius aquaticus
MARD_SAMN09473900_REFG_MMP09473900-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__Halonotius pteroides
MARD_SAMN09668316_REFG_MMP09668316-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum salinarum
MARD_SAMN09668318_REFG_MMP09668318-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003666015
MARD_SAMN09668325_REFG_MMP09668325-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula taiwanensis
MARD_SAMN09684816_REFG_MMP09684816-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus salinus
MARD_SAMN10220147_REFG_MMP10220147-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__QS-9-68-17;g__Halostella;s__Halostella salina
MARD_SAMN10345419_REFG_MMP10345419-prokka	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus euhalobius
MARD_SAMN10345420_REFG_MMP10345420-prokka	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus halophilus
MARD_SAMN10345422_REFG_MMP10345422-prokka	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus sp003722075
MARD_SAMN10346711_REFG_MMP10346711-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003781945
MARD_SAMN10386251_REFG_MMP10386251-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__Halarchaeum grantii
MARD_SAMN10386377_REFG_MMP10386377-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003721435
TARA_SAMEA2619376_METAG_DDMNADML-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__
TARA_SAMEA2619399_METAG_AILCFMHG-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__
TARA_SAMEA2619399_METAG_MDEDMKFI-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-I;s__MGIIa-I sp002699515
TARA_SAMEA2619531_METAG_FKOCDNIL-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2;s__MGIIa-L2 sp002722615
TARA_SAMEA2619531_METAG_NLGHPFAJ-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L3;s__MGIIa-L3 sp11892u
TARA_SAMEA2619548_METAG_BILEJEDO-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__
TARA_SAMEA2619548_METAG_EKHELPFN-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002690535
TARA_SAMEA2619548_METAG_EPOHAPFP-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-N2;s__MGIIb-N2 sp002502625
TARA_SAMEA2619548_METAG_LBPBNLMG-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-N2;s__MGIIb-N2 sp002713585
TARA_SAMEA2619548_METAG_MIHBNKIL-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002457145
TARA_SAMEA2619548_METAG_NADGNBJK-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp002172355
TARA_SAMEA2619678_METAG_JACBLBKN-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2;s__MGIIa-L2 sp002502215
TARA_SAMEA2619678_METAG_MHJAHMIG-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp002702945
TARA_SAMEA2619840_METAG_BEGAPBFN-prokka	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__UBA12382 sp002503845
TARA_SAMEA2619857_METAG_LENCCDLF-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-N1;s__MGIIb-N1 sp002505455
TARA_SAMEA2619879_METAG_ICPIKJIH-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002496485
TARA_SAMEA2619879_METAG_INCHJECB-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp001627235
TARA_SAMEA2619879_METAG_NMDFONBM-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__MGIIa-K1 sp002727515
TARA_SAMEA2619927_METAG_FKIOMDFE-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__
TARA_SAMEA2619952_METAG_AJMOKAJO-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__Poseidonia sp002689105
TARA_SAMEA2619970_METAG_DKMJMNEJ-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR4;g__JACPJP01;s__
TARA_SAMEA2619970_METAG_DPGAKHOL-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA141;g__UBA141;s__UBA141 sp002495315
TARA_SAMEA2619970_METAG_FCBJNKBN-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA141;g__;s__
TARA_SAMEA2619970_METAG_FJCOMECI-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__JABIAG01;g__;s__
TARA_SAMEA2619970_METAG_JFBHGPEN-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JAAOZN01;g__;s__
TARA_SAMEA2619974_METAG_BMIKPLDI-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__JACPBV01;g__;s__
TARA_SAMEA2619974_METAG_EACGHJOJ-prokka	d__Archaea;p__Undinarchaeota;c__Undinarchaeia;o__Undinarchaeales;f__Undinarchaeaceae;g__Undinarchaeum;s__Undinarchaeum sp002687935
TARA_SAMEA2619974_METAG_FBDFCPGI-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2687795;g__GCA-2687795;s__
TARA_SAMEA2619974_METAG_FNCIMBNC-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__1-14-0-10-32-24;s__
TARA_SAMEA2619974_METAG_GALFEMFL-prokka	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeaceae;g__UBA493;s__UBA493 sp002687735
TARA_SAMEA2619974_METAG_GANJKPAJ-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__;s__
TARA_SAMEA2619974_METAG_HGHKJKMJ-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10216;g__UBA492;s__UBA492 sp002688315
TARA_SAMEA2619974_METAG_IDLEJKED-prokka	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__GCA-2688035;g__GCA-2688035;s__GCA-2688035 sp002688035
TARA_SAMEA2619974_METAG_NBDDEECB-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__UBA8886;s__UBA8886 sp002509165
TARA_SAMEA2620021_METAG_JNBBEMFP-prokka	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp902552015
TARA_SAMEA2620081_METAG_PKGFLKNL-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485
TARA_SAMEA2620097_METAG_CFONCBDI-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR4;g__GCA-2686855;s__GCA-2686855 sp002686855
TARA_SAMEA2620097_METAG_EEFNMAHO-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp002506485
TARA_SAMEA2620097_METAG_OJFEPEIA-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR4;g__GCA-2688775;s__GCA-2688775 sp002688775
TARA_SAMEA2620097_METAG_PJHDBIIG-prokka	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR4;g__GCA-2688925;s__GCA-2688925 sp002688925
TARA_SAMEA2620106_METAG_PKBHHHJA-prokka	d__Archaea;p__Undinarchaeota;c__Undinarchaeia;o__Undinarchaeales;f__UBA543;g__UBA543;s__UBA543 sp002502135
TARA_SAMEA2620194_METAG_ADAIOPCN-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__Poseidonia sp002725275
TARA_SAMEA2620217_METAG_CBDFJFED-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-I;s__
TARA_SAMEA2620217_METAG_LBOFOKIJ-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-N2;s__
TARA_SAMEA2620259_METAG_ABBOIOHA-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__UBA226;s__UBA226 sp002505935
TARA_SAMEA2620259_METAG_HKIDIDPK-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-I;s__MGIIa-I sp002692465
TARA_SAMEA2620259_METAG_OCKACEIN-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__
TARA_SAMEA2620404_METAG_BFJCFKAC-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__Poseidonia sp002694525
TARA_SAMEA2620404_METAG_IKBBGMBF-prokka	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__MGIIa-K1 sp002694245
